[Class]     [Armor Type]  [Amplification]  [Crit-Cap]  [Best Bonus Roll]  [Discord Link]
= Archer      Leather        Physical         190       Phys. Crit Power    <https://discord.gg/z5fnx2c>
  Berserker    Metal         Physical         280         Crit Factor       <https://discord.gg/tBZDZek>
= Brawler      Metal         Physical         145       Phys. Crit Power    <https://discord.gg/dR6W7s2>
  Gunner       Metal         Magical          238       Magic Crit Power    <https://discord.gg/mMJkgUh>
= Lancer       Metal         Physical         160     (G)Phys. Crit Power   <https://discord.gg/q6F7ewE>
  Mystic       Cloth         Magical        350-500     Magic Resistance    <https://discord.gg/9whS8k9>
= Ninja        Cloth         Magical          275        (G)Crit Factor     <https://discord.gg/gD7qnr5>
  Priest       Cloth         Magical        350-500     Magic Resistance    <https://discord.gg/9whS8k9>
= Reaper      Leather        Magical          210       Magic Crit Power    <https://discord.gg/xn3xFAZ>
  Slayer      Leather        Physical         265        (G)Crit Factor     <https://discord.gg/M4JNZjv>
= Sorcerer     Cloth         Magical          255            Max MP         <https://discord.gg/ZnBATQy>
  Valkyrie    Leather        Physical         120       Phys. Crit Power    <https://discord.gg/M345WBe>
= Warrior     Leather        Physical         240        (G)Crit Factor     <https://discord.gg/8nzaTNs>

//NOTE: Second best bonus rolls for most classes is crit factor. Except for Valkyrie.
//NOTE: (G) marked rolls are my best guess at best bonus roll. No info on class discords.
//NOTE: Average unbuffed suggested Crit-Caps are listed. Check class discords for situational crit-caps.
